,tweet_id,text,favorite_count,retweet_count,created_at
0,1317244196319907848,RT @KizzyCakes: Ryan tubridy on the late late show saying you’re not alone and everything’s gonna be okay when he won’t lose a cent pay whe…,0,3,Fri Oct 16 23:21:04 +0000 2020
1,1317244195791425537,"RT @darrengrimes_: Whenever I want to moan about being unable to see people, going to the pub and feeling glum, I think of my two brothers…",0,10,Fri Oct 16 23:21:04 +0000 2020
2,1317244194654740480,"RT @demi_jaynexx: We’re on the absolute brink of being put back on a full lockdown- it’s almost winter, freezing cold, gets dark early, gym…",0,3743,Fri Oct 16 23:21:03 +0000 2020
3,1317244190598848512,RT @eshtidiaries: Ramadan during the first lockdown was the only highlight of 2020,0,30,Fri Oct 16 23:21:02 +0000 2020
4,1317244189948760066,RT @AndyMadaki: The food at the #EndSARS protests is more than all the palliatives Federal Government claimed to share during lockdown.,0,51,Fri Oct 16 23:21:02 +0000 2020
5,1317244185905430529,"RT @demi_jaynexx: We’re on the absolute brink of being put back on a full lockdown- it’s almost winter, freezing cold, gets dark early, gym…",0,3743,Fri Oct 16 23:21:01 +0000 2020
6,1317244182482669569,"RT @JustineFrescher: @LaTrioli @abcnews @abcmelbourne Thank you Virginia, your article is on point and it’s been my concern. I so desperate…",0,1,Fri Oct 16 23:21:00 +0000 2020
7,1317244181161521153,Numbers low so people are pushing to ease the lockdown in Melbourne quicker but wouldn't a few weeks of those low n… https://t.co/bWWQgJbHme,0,0,Fri Oct 16 23:21:00 +0000 2020
8,1317244180129894400,RT @McNati_: This madam that fed school children during lockdown should be fired #ENDBADGOVERNANCE #EndSWAT #EndSARS #RECONSTRUCTNIGERIA #R…,0,7,Fri Oct 16 23:21:00 +0000 2020
9,1317244176887668736,"@spiderxx @PeterCredlin_PW Yes Nick ,but she is a self entitled peace of human garbage ,with no credibility at all… https://t.co/8EoAwPbn0s",0,0,Fri Oct 16 23:20:59 +0000 2020
10,1317244176082358272,"RT @thetruebluechef: Talking to a work colleague today.
He has a nurse friend.
She says something isn't right here.
At the beginning of loc…",0,9,Fri Oct 16 23:20:59 +0000 2020
11,1317244175989968896,"RT @Ro_Smith: Daniel Andrews said yesterday, correctly, that we ""haven't listened to the loudest voices, haven't lost our nerve"". Lockdown…",0,111,Fri Oct 16 23:20:59 +0000 2020
12,1317244168855576576,RT @dockaurG: “It's unlikely that in current (lockdown) situation we are really saving lives. I think that probably we're killing people by…,0,708,Fri Oct 16 23:20:57 +0000 2020
13,1317244164216483840,Let us all admit that lockdown has changed us as a person more than we could ever think of.,0,0,Fri Oct 16 23:20:56 +0000 2020
14,1317244156343975936,RT @TheDuck90: Level 5 restrictions should not be acceptable and represent a failure of government. Why hasn't ICU and health care capacity…,0,32,Fri Oct 16 23:20:54 +0000 2020
15,1317244149461123072,RT @_alexmeadows: London lockdown 2.0 https://t.co/MfQlsiduLa,0,960,Fri Oct 16 23:20:53 +0000 2020
16,1317244148152438786,"RT @demi_jaynexx: We’re on the absolute brink of being put back on a full lockdown- it’s almost winter, freezing cold, gets dark early, gym…",0,3743,Fri Oct 16 23:20:52 +0000 2020
17,1317244146566967303,RT @guardiannews: Livestream of peregrine falcon chicks on Melbourne skyscraper captivates city in lockdown https://t.co/O29AkfIW8w,0,29,Fri Oct 16 23:20:52 +0000 2020
18,1317244145887490048,@BathNESUKIP Ha ha. The first bit of good news since lockdown began in March!,0,0,Fri Oct 16 23:20:52 +0000 2020
19,1317244143672958981,"RT @antonio_bordin: Per #Conte se ci sarà un nuovo #lockdown sarà colpa degli italiani.

Non del suo governo di peracottari, che non ha acq…",0,42,Fri Oct 16 23:20:51 +0000 2020
20,1317244141059833856,"@CityNews So wait, I though the under 70 crowd just went into stage 2 lockdown to keep nursing home residents safe,… https://t.co/vo9PJ9wu6r",0,0,Fri Oct 16 23:20:51 +0000 2020
21,1317244135527583744,RT @MahyarTousi: The anti lockdown street party is about to begin in Soho. The police and journalists are already gathering. https://t.co/F…,0,322,Fri Oct 16 23:20:49 +0000 2020
22,1317244130318233600,RT @WAFLL_92: If your championing another national lockdown then you obviously don't have a house or family to support and you don't want y…,0,3,Fri Oct 16 23:20:48 +0000 2020
23,1317244126618914825,"RT @Channel4News: ""The Director-General of the WHO, the President of the Academy of Medical Sciences have described this an unethical and i…",0,227,Fri Oct 16 23:20:47 +0000 2020
24,1317244117580156929,@BoozyBadger My school’s infected went from 19 to 40 in the span of a week. The entire school is on lockdown mode b… https://t.co/BpaFakg5TV,0,0,Fri Oct 16 23:20:45 +0000 2020
25,1317244099628568581,RT @jjcharlesworth_: There was never any lockdown. There was just middle-class people hiding while working-class people brought them things.,0,33694,Fri Oct 16 23:20:41 +0000 2020
26,1317244097451741184,"RT @CllrBSilvester: Netherlands lawsuit to end #Lockdown.
There is no pandemic.
93% of tests are false positives.
99.99% of us have NOT die…",0,174,Fri Oct 16 23:20:40 +0000 2020
27,1317244090082238464,"RT @Ro_Smith: Daniel Andrews said yesterday, correctly, that we ""haven't listened to the loudest voices, haven't lost our nerve"". Lockdown…",0,111,Fri Oct 16 23:20:38 +0000 2020
28,1317244083534954496,@seeds_we_sow @apnoeaboy @AndyBurnhamGM That’s complicated. Too much poverty sadly due mainly to consecutive conser… https://t.co/ORapSDo25M,0,0,Fri Oct 16 23:20:37 +0000 2020
29,1317244083463770113,RT @DONJAZZY: Ehen by the way I used the lockdown to learn Forex trading and it’s been beautiful. After we  #EndSARS finish and enter #NewN…,0,3922,Fri Oct 16 23:20:37 +0000 2020
30,1317244083128197124,RT @witchyqueer: not-so-gentle reminder that all the “sacrifices” you made during lockdown are things that disabled and chronically ill peo…,0,1298,Fri Oct 16 23:20:37 +0000 2020
31,1317244077830701056,"RT @DeOne___: I followed all the rules in lockdown pt.1, Boris fucked up and we’re back at square one, therefore I shall not be sacrificing…",0,129,Fri Oct 16 23:20:36 +0000 2020
32,1317244073783209984,"RT @LabourUBI: If there is going to be a nationwide lockdown then everybody should receive a Basic Income.

Share if you agree.",0,69,Fri Oct 16 23:20:35 +0000 2020
33,1317244073556779009,"RT @DeOne___: I followed all the rules in lockdown pt.1, Boris fucked up and we’re back at square one, therefore I shall not be sacrificing…",0,129,Fri Oct 16 23:20:35 +0000 2020
34,1317244073368051715,"RT @DeOne___: I followed all the rules in lockdown pt.1, Boris fucked up and we’re back at square one, therefore I shall not be sacrificing…",0,129,Fri Oct 16 23:20:34 +0000 2020
35,1317244072214581248,"@catherinerusse2 We are probably headed back to ""lockdown"" here too.....but that means that the governor will decla… https://t.co/P9wIKx8D82",0,0,Fri Oct 16 23:20:34 +0000 2020
36,1317244071786745856,@RoCx83516164 @deazasvo @RainingYarrow @MDfreedombooms This says nothing about a lockdown not working. It said it w… https://t.co/fXr0kSV20S,0,0,Fri Oct 16 23:20:34 +0000 2020
37,1317244064220270598,"New COVID-19 restrictions affect around half of England population

Just the other half to go and then you've got y… https://t.co/OYHoZKYJ5q",0,0,Fri Oct 16 23:20:32 +0000 2020
38,1317244064086040577,"RT @cue_bono: ITN programme on the Lockdown confirms what we have been saying for weeks.  The Covid spread in the North is down to the ""sou…",0,243,Fri Oct 16 23:20:32 +0000 2020
39,1317244058549522433,"@wgmin_education It’s not under minimum disruption though 
My daughter is in year 11
She missed a week waiting for… https://t.co/ub4dLyW0CQ",0,0,Fri Oct 16 23:20:31 +0000 2020
40,1317244058486460417,"RT @kmjgardiner: It is possible to be completely over lockdown, critical of some government measures, willing to keep trying, and absolutel…",0,4,Fri Oct 16 23:20:31 +0000 2020
41,1317244054120312835,"RT @antonio_bordin: Ma contro il #Covid19 sapete fare qualcos’altro rispetto oltre a chiudere, ringhiere e vietare, razza di incapaci perac…",0,26,Fri Oct 16 23:20:30 +0000 2020
42,1317244050190356480,"RT @ohpolly: Do we have any girls in lockdown? Isolation? Anyone from an area with new restrictions? 👀

Let us help you celebrate your next…",0,2722,Fri Oct 16 23:20:29 +0000 2020
43,1317244044230053889,@Vic_Rollison Yeah the two or three journalists that actually asked a few tough questions have made this lockdown h… https://t.co/lDYNzdkbrF,0,0,Fri Oct 16 23:20:28 +0000 2020
44,1317244040606326790,"RT @demi_jaynexx: We’re on the absolute brink of being put back on a full lockdown- it’s almost winter, freezing cold, gets dark early, gym…",0,3743,Fri Oct 16 23:20:27 +0000 2020
45,1317244040136527878,@ElFloyo Why do the World Bank &amp;IMF pressure and bribe nations to adopt strict lockdown policies? They know that wi… https://t.co/FTSzrXBbQJ,0,0,Fri Oct 16 23:20:27 +0000 2020
46,1317244039188545537,"RT @Ro_Smith: Daniel Andrews said yesterday, correctly, that we ""haven't listened to the loudest voices, haven't lost our nerve"". Lockdown…",0,111,Fri Oct 16 23:20:26 +0000 2020
